Year,smolts,runsize_obs,Total_Recruits,OA1_Recruits,OA2_Recruits,OA3_Recruits,Total_SAR,OA2_SAR,OA3_SAR
1992,90238,3944,16524.43941,41.33663366,15628.3931,854.7096774,0.18312063,0.173190819,0.009471727
1993,25848,4175,1662.896333,112.4344828,1317.677419,232.7844311,0.064333656,0.050977926,0.009005897
1994,147512,16303,9439.85033,35.61290323,7542.215569,1862.021858,0.063993779,0.051129505,0.01262285
1995,151104,2208,8405.282985,0,5387.978142,3017.304843,0.055625814,0.035657416,0.019968398
1996,190540,7775,12403.98142,0,10350.50142,2053.48,0.065099094,0.054321935,0.01077716
1997,120376,7250,4235.143025,38.19373219,2613.52,1583.429293,0.03518262,0.021711305,0.013154028
1998,92499,13406,10859.67797,0,9118.368687,1741.309278,0.117403193,0.098578024,0.018825169
1999,193234,4667,3731.955014,109.2020202,3092.773196,529.979798,0.019313139,0.016005326,0.002742684
2000,28325,10811,4291.512807,207.9175258,3342.949495,740.6457859,0.15150972,0.118021165,0.02614813
2001,194955,5042,25650.78424,163.0707071,20021.32802,5466.385519,0.131572846,0.102697176,0.028039217
2002,149481,4036,6787.199999,215.0261959,5842.614481,729.559322,0.045405102,0.039086001,0.004880616
2003,70826,20977,3445.961195,0,2583.855932,862.1052632,0.048653901,0.036481743,0.012172158
2004,170820,11309,11473.23835,273.5847458,8965.894737,2233.758865,0.067165662,0.052487383,0.013076682
2005,117083,3587,2357.050982,0,1486.241135,870.8098472,0.020131454,0.012693911,0.007437543
2006,289304,9828,9312.4303,0,4833.483871,4478.946429,0.032189082,0.016707283,0.015481799
2007,158264,3720,2549.783978,58.70628183,2230.892857,260.184839,0.016110954,0.014096022,0.001643993
2008,253004,5763,24497.10438,17.16071429,22375.89616,2104.047509,0.096824969,0.088440879,0.008316262
2009,342941,6727,47901.51472,141.9190031,34609.43453,13150.16119,0.139678588,0.100919501,0.038345258
2010,436587,22778,43407.29316,343.5179606,34820.83881,8242.936392,0.099424154,0.07975693,0.018880398
2011,209508,37057,12559.52386,0,9468.237748,3091.286111,0.059947705,0.045192727,0.014754979
2012,469932,47971,28754.45432,92.82586027,23825.52222,4836.106236,0.061188543,0.050699936,0.010291077
2013,758309,17804,54198.13538,226.1916667,46237.89376,7734.049946,0.071472362,0.060975003,0.010199074
2014,939879,27143,45289.62694,0,35082.76873,10206.85821,0.048186657,0.037326899,0.010859758
2015,700757,51074,27137.23233,93.18132465,23027.66791,4016.383099,0.038725596,0.032861131,0.005731492
2016,787650,42910,33690.97679,124.4738806,26826.81972,6739.683196,0.042774045,0.034059315,0.008556698
2017,1094898.272,33359,20475.49305,152.7971831,15705.3168,4617.379061,0.018700818,0.014344088,0.004217176
2018,850044,30996,19407.06065,0,14691.66065,4715.4,0.022830654,0.017283412,0.005547242
2019,760016,22445,38146.51475,69.96028881,26301.45333,11775.10112,0.050191726,0.034606447,0.015493228
2020,856688,19379,33873.59822,419.1466667,25325.81273,8128.638821,0.039540181,0.029562469,0.009488447
2021,763622,31436,61101.91397,327.0861423,57061.43489,3713.392941,0.080015916,0.074724713,0.004862868
2022,703330,37428,49410.49575,321.9262899,42872.80941,6215.760047,0.070252223,0.06095689,0.008837615
2023,1167453,65512,NA,1237.797647,86047.73908,NA,NA,0.073705527,NA
2024,906642,47824,NA,540.5008736,NA,NA,NA,NA,NA
2025,NA,92804,NA,NA,NA,NA,NA,NA,NA
